category,geek_rate,classificationtype,minage,avg_rate,family,title,minplayers,playingtime,yearpublished,usersrated,maxplayers,page,itemnumber,bayesaverage,mechanism,num_votes,maxplaytime,type,id,minplaytime
"Expansion for Base-game,Exploration,Fan Expansion",N/A,,10,9.25,T.I.M.E Stories,Black Knight (fan expansion for T.I.M.E Stories),2,120,2017,4,4,141,59,0,"Co-operative Play,Dice Rolling,Storytelling,Time Track,Variable Player Powers",4,120,boardgameexpansion/boargame,230055,120
"Comic Book / Strip,Fantasy",N/A,,12,N/A,,Arcane Academy: Bow of Spell Mastery,2,45,2017,0,4,141,61,0,"Card Drafting,Tile Placement",N/A,45,boardgameexpansion/boargame,230098,30
"Economic,Environmental,Expansion for Base-game,Industry / Manufacturing,Science Fiction,Space Exploration",N/A,,12,N/A,,Terraforming Mars: Self Replicating Robots promo,1,90,2017,0,5,141,63,0,"Card Drafting,Hand Management,Tile Placement,Variable Player Powers",N/A,90,boardgameexpansion/boargame,230123,90
"Fantasy,Miniatures,Zombies",N/A,,0,10,Zombicide,Zombicide: Green Horde Special Guest Box – Sean A. Murray,1,0,2018,1,6,141,65,0,"Co-operative Play,Dice Rolling,Modular Board,Variable Player Powers",1,0,boardgameexpansion/boargame,230143,0
"Expansion for Base-game,Party Game",N/A,,0,N/A,,Blank Marry Kill: Kickstarter Exclusive Cards,3,0,2017,0,10,141,67,0,,N/A,0,boardgameexpansion/boargame,230173,0
"Comic Book / Strip,Miniatures",N/A,,0,N/A,,The Walking Dead: All Out War – Shane Booster,2,120,2016,0,2,141,69,0,Dice Rolling,N/A,120,boardgameexpansion/boargame,230208,30
"Fantasy,Miniatures,Nautical,Pirates",N/A,,0,N/A,"Crowdfunding: Kickstarter,Rum & Bones",Rum & Bones: Second Tide – Mercenaries Promos Set #4,2,75,2017,0,6,141,71,0,"Action Point Allowance System,Dice Rolling,Grid Movement,Variable Player Powers",N/A,75,boardgameexpansion/boargame,230219,30
"Fantasy,Miniatures,Nautical,Pirates",N/A,,0,N/A,"Crowdfunding: Kickstarter,Rum & Bones",Rum & Bones: Second Tide: Captains Promos Set,2,75,2017,0,6,141,73,0,"Action Point Allowance System,Dice Rolling,Grid Movement,Variable Player Powers",N/A,75,boardgameexpansion/boargame,230221,30
"Adventure,Card Game",N/A,,14,8,,The Lost Expedition: The Lost World,1,50,2017,1,5,141,75,0,"Co-operative Play,Hand Management",1,50,boardgameexpansion/boargame,230226,30
"Card Game,Expansion for Base-game,Fantasy,Fighting",N/A,,13,N/A,Crowdfunding: Kickstarter,Epic Card Game: Thundarus Promo Card,2,40,2016,0,4,141,77,0,"Card Drafting,Hand Management,Take That",N/A,40,boardgameexpansion/boargame,230270,20
"Card Game,Exploration,Game System",N/A,,10,N/A,"Escape Room Games,Unlock!",Unlock! The Nautilus' Traps,1,75,2017,0,6,141,79,0,"Co-operative Play,Storytelling",N/A,75,boardgameexpansion/boargame,230304,45
"Expansion for Base-game,Wargame,World War II",N/A,,16,10,Advanced Tobruk System,Advanced Tobruk 2016: Expansion 3 – Kasserine Pass,1,180,2016,1,2,141,81,0,"Hex-and-Counter,Modular Board,Simultaneous Action Selection",1,180,boardgameexpansion/boargame,230308,30
"Fantasy,Horror,Medieval,Zombies",N/A,,14,10,Zombicide,Zombicide: Green Horde – Rat King & Swamp Troll,1,0,2018,1,6,141,83,0,"Co-operative Play,Dice Rolling,Modular Board,Variable Player Powers",1,0,boardgameexpansion/boargame,230344,0
Expansion for Base-game,N/A,,0,N/A,,Magic Maze: Security,1,24,2017,0,8,141,85,0,,N/A,24,boardgameexpansion/boargame,230359,1
"Adventure,Card Game,Fantasy,Fighting",N/A,,14,N/A,"Campaign Games,From RPG books to board games,Das Schwarze Auge,Solitaire Games",Aventuria: Ship of lost souls,1,180,2017,0,4,141,87,0,"Co-operative Play,Deck / Pool Building,Dice Rolling,Hand Management,Role Playing,Variable Player Powers",N/A,180,boardgameexpansion/boargame,230421,30
"Card Game,Exploration,Game System,Puzzle,Real-time",N/A,,0,9.25,"Escape Room Games,Unlock!",Unlock! Le Temple de Ra,1,60,2017,2,6,141,89,0,"Co-operative Play,Storytelling",2,60,boardgameexpansion/boargame,230430,60
"Miniatures,Wargame,World War II",N/A,,12,7,,Tanks: Grant,2,60,2017,1,2,141,91,0,"Action / Movement Programming,Dice Rolling,Variable Player Powers",1,60,boardgameexpansion/boargame,230451,30
Miniatures,N/A,,14,N/A,,The Walking Dead: All Out War – Carol Booster,1,90,2017,0,2,141,93,0,Dice Rolling,N/A,90,boardgameexpansion/boargame,230489,30
"Card Game,Expansion for Base-game,Fantasy",N/A,,14,N/A,,Dark Tales: The Little Mermaid,2,0,2017,0,4,141,95,0,"Hand Management,Set Collection",N/A,0,boardgameexpansion/boargame,230502,0
"American West,Bluffing,Card Game,Expansion for Base-game",N/A,,8,N/A,BANG!,BANG! Armed & Dangerous,4,40,2017,0,7,141,96,0,"Hand Management,Partnerships,Player Elimination,Take That",N/A,40,boardgameexpansion/boargame,230505,20
"Adventure,Card Game,Collectible Components,Expansion for Base-game,Fantasy,Horror,Novel-based",N/A,,14,N/A,"Arkham Horror,Arkham Horror: The Card Game LCG,Campaign Games,Cthulhu Mythos,Living Card Game,Solitaire Games",Arkham Horror: The Card Game – The Unspeakable Oath,1,120,2017,0,4,141,97,0,"Action Point Allowance System,Co-operative Play,Deck / Pool Building,Hand Management,Role Playing,Variable Player Powers",N/A,120,boardgameexpansion/boargame,230510,60
"Card Game,Expansion for Base-game,Fantasy,Video Game Theme",N/A,,13,N/A,"Boss Monster,Promotional Cards",Boss Monster: Malakill Promo Card,2,20,2017,0,4,141,98,0,"Hand Management,Modular Board",N/A,20,boardgameexpansion/boargame,230511,20
"Card Game,Exploration,Puzzle",N/A,,10,5,,El Incidente (Fan expansion to T.I.M.E. Stories),2,0,2017,1,4,141,99,0,"Card Drafting,Memory,Time Track,Variable Player Powers",1,0,boardgameexpansion/boargame,230517,90
Expansion for Base-game,N/A,,0,N/A,,Buffy the Vampire Slayer: Friends and Frenemies,0,0,2017,0,0,141,100,0,Co-operative Play,N/A,0,boardgameexpansion/boargame,230531,0
Expansion for Base-game,N/A,,12,N/A,,Dark Moon: Shadow Corporation,3,75,2017,0,7,142,1,0,,N/A,75,boardgameexpansion/boargame,230534,60
"Economic,Video Game Theme",N/A,,8,7.3,,Monopoly Gamer Power Pack: Diddy Kong,2,0,2017,5,4,142,4,0,"Roll / Spin and Move,Set Collection,Stock Holding,Take That",5,0,boardgameexpansion/boargame,230581,0
"Economic,Video Game Theme",N/A,,8,7.58,,Monopoly Gamer Power Pack: Tanooki Mario,2,0,2017,6,4,142,5,0,"Roll / Spin and Move,Set Collection,Stock Holding,Take That",6,0,boardgameexpansion/boargame,230582,0
"Economic,Video Game Theme",N/A,,8,7.62,,Monopoly Gamer Power Pack: Fire Mario,2,0,2017,4,4,142,7,0,"Roll / Spin and Move,Set Collection,Stock Holding,Take That",4,0,boardgameexpansion/boargame,230584,0
"Economic,Video Game Theme",N/A,,8,7.88,,Monopoly Gamer Power Pack: Wario,2,0,2017,4,4,142,8,0,"Roll / Spin and Move,Set Collection,Stock Holding,Take That",4,0,boardgameexpansion/boargame,230585,0
Expansion for Base-game,N/A,,0,N/A,,Munchkin Shakespeare Drama Dice,0,0,2017,0,0,142,11,0,,N/A,0,boardgameexpansion/boargame,230648,0
"Card Game,Dice,Expansion for Base-game,Fantasy,Fighting,Medieval",N/A,,10,9,,Looterz: Promo Pack,2,30,2016,1,6,142,13,0,"Dice Rolling,Take That",1,30,boardgameexpansion/boargame,230723,15
"Card Game,Economic,Expansion for Base-game,Medieval",N/A,,10,N/A,,Riga: Die Bürgermeister,2,50,2017,0,4,142,15,0,"Commodity Speculation,Set Collection,Take That",N/A,50,boardgameexpansion/boargame,230793,30
Fantasy,N/A,,10,N/A,Castle Panic,Castle Panic: Fickle Fortune Promo,1,60,2017,0,6,142,17,0,"Campaign / Battle Card Driven,Co-operative Play,Hand Management",N/A,60,boardgameexpansion/boargame,230811,60
"Ancient,Card Game,City Building,Civilization",N/A,,10,N/A,"Ancient Rome,Country: Egypt,Country: Japan,Solitaire Games,Tableau Building",Imperial Settlers: Ruins,2,90,2017,0,4,142,19,0,"Card Drafting,Hand Management,Take That,Variable Player Powers",N/A,90,boardgameexpansion/boargame,230850,45
"Card Game,Farming,Party Game",N/A,,8,N/A,,Wine Rating: Vintage Upgrade Pack,2,50,2017,0,4,142,21,0,Area Control / Area Influence,N/A,50,boardgameexpansion/boargame,230875,30
"Expansion for Base-game,Miniatures,Renaissance,Wargame",N/A,,12,N/A,,Supplement One: Adaption of Ancient Rules to 14/15th Century Warfare,2,120,1970,0,2,142,22,0,"Dice Rolling,Paper-and-Pencil,Simulation",N/A,120,boardgameexpansion/boargame,230883,120
"Card Game,Expansion for Base-game,Fantasy,Fighting",N/A,,10,N/A,Pathfinder Adventure Card Game,Pathfinder Adventure Card Game: Class Deck – Magus,1,90,2017,0,6,142,30,0,"Campaign / Battle Card Driven,Co-operative Play,Deck / Pool Building,Dice Rolling,Variable Player Powers",N/A,90,boardgameexpansion/boargame,230986,90
"Card Game,Expansion for Base-game,Fantasy,Fighting",N/A,,10,N/A,Pathfinder Adventure Card Game,Pathfinder Adventure Card Game: Hell's Vengeance Character Deck 2,1,0,2017,0,6,142,32,0,"Campaign / Battle Card Driven,Co-operative Play,Deck / Pool Building,Dice Rolling,Variable Player Powers",N/A,0,boardgameexpansion/boargame,230988,90
"Card Game,Expansion for Base-game,Fantasy,Fighting",N/A,,10,N/A,Pathfinder Adventure Card Game,Pathfinder Adventure Card Game: Occult Adventures Character Deck 1,1,0,2018,0,6,142,34,0,"Campaign / Battle Card Driven,Co-operative Play,Deck / Pool Building,Dice Rolling,Variable Player Powers",N/A,0,boardgameexpansion/boargame,230990,90
"Card Game,Expansion for Base-game,Fantasy,Fighting",N/A,,10,N/A,Pathfinder Adventure Card Game,Pathfinder Adventure Card Game: Occult Adventures Character Deck 2,1,0,2018,0,6,142,35,0,"Campaign / Battle Card Driven,Co-operative Play,Deck / Pool Building,Dice Rolling,Variable Player Powers",N/A,0,boardgameexpansion/boargame,230991,90
"Expansion for Base-game,Humor,Miniatures,Wargame",N/A,,8,N/A,,Mars Attacks: The Miniatures Game – V.I.M.: Very Important Martians,2,120,2013,0,2,142,37,0,"Dice Rolling,Grid Movement,Hand Management",N/A,120,boardgameexpansion/boargame,231097,120
"Card Game,City Building,Economic,Video Game Theme",N/A,,14,N/A,"Admin: Unreleased Games,Crowdfunding: Kickstarter",Masters of Elements,2,120,2018,0,4,142,39,0,"Deck / Pool Building,Hand Management",N/A,120,boardgameexpansion/boargame,231220,60
"Card Game,Dice,Expansion for Base-game,Pirates",N/A,,0,N/A,,Ghost Pirates: Officer's Club,2,0,2012,0,2,142,41,0,"Area Movement,Dice Rolling",N/A,0,boardgameexpansion/boargame,231290,0
"Memory,Science Fiction",N/A,,12,N/A,Crowdfunding: Kickstarter,Triplock: The Estates Solo Pack,1,30,2017,0,2,142,43,0,"Dice Rolling,Hand Management,Memory,Pattern Building,Pattern Recognition,Set Collection,Variable Phase Order",N/A,30,boardgameexpansion/boargame,231293,15
"Card Game,Dice,Pirates",N/A,,0,N/A,,Ghost Pirates: Sunken Treasure,2,0,0,0,2,142,45,0,"Area Movement,Dice Rolling",N/A,0,boardgameexpansion/boargame,231300,0
"Card Game,Expansion for Base-game,Science Fiction",N/A,,12,N/A,"Crowdfunding: Kickstarter,Star Realms",Star Realms: Command Deck – The Alliance,2,0,2017,0,4,142,47,0,Deck / Pool Building,N/A,0,boardgameexpansion/boargame,231369,20
"Card Game,Expansion for Base-game,Science Fiction",N/A,,12,N/A,"Crowdfunding: Kickstarter,Star Realms",Star Realms: Command Deck – The Pact,2,0,2017,0,4,142,49,0,Deck / Pool Building,N/A,0,boardgameexpansion/boargame,231371,20
"Card Game,Expansion for Base-game,Science Fiction",N/A,,12,N/A,"Crowdfunding: Kickstarter,Star Realms",Star Realms: Command Deck – The Unity,2,0,2017,0,4,142,51,0,Deck / Pool Building,N/A,0,boardgameexpansion/boargame,231373,20
"Card Game,Expansion for Base-game,Science Fiction",N/A,,12,N/A,"Crowdfunding: Kickstarter,Star Realms",Star Realms: Stellar Allies Pack,2,0,2017,0,4,142,53,0,Deck / Pool Building,N/A,0,boardgameexpansion/boargame,231375,20
"Expansion for Base-game,Medieval,Religious,Travel",N/A,,12,9,"Cities: Orléans (France),Country: France,Orléans",Orleans: Drawbridge,2,0,2017,1,4,142,55,0,"Deck / Pool Building,Point to Point Movement,Worker Placement",1,0,boardgameexpansion/boargame,231405,0
"Expansion for Base-game,Wargame,World War II",5.62,wargames,12,7.11,"Block wargames,Columbia Front Series",EuroFront,2,600,1995,88,6,1,3,5.61979,"Dice Rolling,Secret Unit Deployment,Simulation",88,600,boardgameexpansion/boargame,81,600
"Ancient,Civilization,Economic,Expansion for Base-game,Negotiation",7.326,strategygames,12,8.01,Civilization,Advanced Civilization,2,480,1991,2893,8,1,5,7.32615,"Area Movement,Commodity Speculation,Set Collection,Trading",2893,480,boardgameexpansion/boargame,177,360
"Ancient,Civilization,Expansion for Base-game,Negotiation",6.005,"strategygames,familygames",10,6.58,"Catan,Country: Egypt,Country: Greece",Die Siedler von Catan: Historische Szenarien,3,90,1998,871,4,1,7,6.0055,"Route/Network Building,Trading",871,90,boardgameexpansion/boargame,306,90
"Card Game,Expansion for Base-game,Negotiation,Political",6.021,thematic,12,6.99,Illuminati,Illuminati: Y2K,2,60,1999,599,6,1,12,6.02077,"Card Drafting,Dice Rolling,Route/Network Building,Tile Placement,Variable Player Powers",599,60,boardgameexpansion/boargame,576,60
"Expansion for Base-game,Medieval,Negotiation",7.255,strategygames,12,7.48,Catan,Catan: Cities & Knights,3,90,1998,13108,4,1,16,7.2554,"Dice Rolling,Hand Management,Memory,Modular Board,Route/Network Building,Trading",13108,90,boardgameexpansion/boargame,926,90
"Ancient,Expansion for Base-game,Negotiation",5.99,familygames,10,6.93,"Catan,Country: Greece,Hong Kong",Die Siedler von Catan: Historische Szenarien II,4,90,2001,514,6,1,22,5.99017,"Dice Rolling,Route/Network Building,Trading",514,90,boardgameexpansion/boargame,1361,90
"Card Game,Expansion for Base-game,Farming,Negotiation",6.298,familygames,12,7.03,Bohnanza,Bohnanza Erweiterungs-Set (Revised Edition),3,60,2001,1060,7,1,24,6.29751,"Hand Management,Set Collection,Trading",1060,60,boardgameexpansion/boargame,1494,60
"Action / Dexterity,Expansion for Base-game,Racing,Sports",6.77,familygames,6,7.6,"PitchCar,Sports: Auto Racing",PitchCar Extension,2,20,1997,1451,8,1,26,6.76981,Modular Board,1451,20,boardgameexpansion/boargame,1526,20
"Expansion for Base-game,Nautical,Racing,Transportation",6.057,familygames,10,6.73,,Mississippi Queen: The Black Rose,2,45,1998,782,6,1,29,6.05729,"Action Point Allowance System,Grid Movement,Modular Board,Pick-up and Deliver",782,45,boardgameexpansion/boargame,1565,45
"Card Game,Expansion for Base-game,Wargame,World War II",6.365,wargames,12,8.18,"Asian Theme,Up Front Series",Banzai,1,60,1984,459,2,1,31,6.36518,"Campaign / Battle Card Driven,Hand Management",459,60,boardgameexpansion/boargame,1573,60
"Expansion for Base-game,Exploration,Fighting,Wargame,World War II",5.956,wargames,12,7.61,"Ambush! solitaire wargame system,Solitaire Games,Solitaire Wargames",Ambush! Silver Star,1,240,1987,283,1,1,34,5.95583,"Action Point Allowance System,Hex-and-Counter,Secret Unit Deployment",283,240,boardgameexpansion/boargame,1612,240
"Expansion for Base-game,Wargame,World War II",5.78,wargames,12,7.82,"Ambush! solitaire wargame system,Solitaire Games,Solitaire Wargames",Battle Hymn: Leatherneck,1,240,1988,143,1,1,36,5.78037,Hex-and-Counter,143,240,boardgameexpansion/boargame,1667,240
"Abstract Strategy,Card Game",5.938,abstracts,10,6.73,Chess Games,Knightmare Chess 2,2,60,1998,584,2,1,41,5.93825,Grid Movement,584,60,boardgameexpansion/boargame,1677,60
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting,Maze",5.929,thematic,10,7.06,Drakborgen,Heroes for Dungeonquest,1,90,1987,369,4,1,49,5.92902,"Modular Board,Rock-Paper-Scissors,Role Playing,Tile Placement,Variable Player Powers",369,90,boardgameexpansion/boargame,1745,90
"Expansion for Base-game,Exploration,Fantasy,Fighting",5.834,,12,7.35,"HeroQuest,Warhammer Fantasy Board Games",HeroQuest: Barbarian Quest Pack,2,120,1992,243,5,1,54,5.83413,"Co-operative Play,Role Playing,Variable Player Powers",243,120,boardgameexpansion/boargame,1763,120
"Expansion for Base-game,Exploration,Fantasy,Fighting,Miniatures",5.953,,8,7.25,"HeroQuest,Warhammer Fantasy Board Games",HeroQuest: Against the Ogre Horde,2,120,1993,386,5,1,56,5.95347,"Co-operative Play,Role Playing,Variable Player Powers",386,120,boardgameexpansion/boargame,1765,120
"Ancient,Expansion for Base-game,Nautical,Wargame",5.578,wargames,12,6.98,"Country: Greece,Great Battles of History",Salamis,2,360,1999,56,2,1,61,5.57823,Hex-and-Counter,56,360,boardgameexpansion/boargame,1895,360
Expansion for Base-game,5.532,,10,6.38,"Magazine: White Dwarf,Solitaire Games",Life & Death & An American Chainsaw,1,90,1987,36,1,1,68,5.53218,Campaign / Battle Card Driven,36,90,boardgameexpansion/boargame,2050,90
"Bluffing,Expansion for Base-game,Murder/Mystery",5.617,,10,6.37,Doctor Lucky,Kill Doctor Lucky: Craigdarroch,3,60,1998,166,10,1,73,5.61687,,166,60,boardgameexpansion/boargame,2204,60
"Adventure,Deduction,Expansion for Base-game,Negotiation,Science Fiction",N/A,,10,7.47,,The Artifact,3,120,2001,19,8,1,78,0,"Grid Movement,Role Playing,Secret Unit Deployment,Simulation,Simultaneous Action Selection,Variable Player Powers",19,120,boardgameexpansion/boargame,2355,120
"Expansion for Base-game,Science Fiction,Wargame",N/A,wargames,12,N/A,,Fire On The Suns: Tactical Command Fleet Book 1,2,60,2001,0,3,1,83,0,"Campaign / Battle Card Driven,Hex-and-Counter,Roll / Spin and Move,Simultaneous Action Selection",N/A,60,boardgameexpansion/boargame,2551,60
"City Building,Expansion for Base-game",5.55,,12,6.66,,Kontor: Das Exportlager,2,45,2000,43,2,1,88,5.54984,,43,45,boardgameexpansion/boargame,2622,45
"Dice,Expansion for Base-game,Movies / TV / Radio theme,Science Fiction",5.59,familygames,10,6.21,,"Another Day, Another Dollar: Space",3,45,2000,150,8,1,93,5.5901,Dice Rolling,150,45,boardgameexpansion/boargame,2714,45
"Expansion for Base-game,Exploration,Fantasy,Fighting",N/A,,10,6.58,,Knights of the Dinner Table: Orcs – The Reckoning,2,60,1999,24,5,1,98,0,,24,60,boardgameexpansion/boargame,2761,60
"Abstract Strategy,Economic,Expansion for Base-game,Modern Warfare,Negotiation,Wargame",5.543,"wargames,abstracts",12,6.1,,Supremacy: The Unconventional Forces,4,360,1989,98,6,2,2,5.54339,"Action Point Allowance System,Variable Player Powers",98,360,boardgameexpansion/boargame,2846,360
"Abstract Strategy,Economic,Expansion for Base-game,Modern Warfare,Negotiation,Political,Wargame",5.581,"wargames,abstracts",0,6.56,,Supremacy: Mega Supremacy – Challenge of the New World Order,4,360,1991,85,8,2,8,5.58096,"Action Point Allowance System,Auction/Bidding,Campaign / Battle Card Driven,Co-operative Play,Commodity Speculation,Secret Unit Deployment,Trading,Variable Player Powers",85,360,boardgameexpansion/boargame,2852,360
"Economic,Expansion for Base-game,Science Fiction,Wargame",5.561,wargames,12,6.44,Starfire,Imperial Starfire,2,360,1993,73,2,2,12,5.5611,"Hex-and-Counter,Modular Board,Variable Player Powers",73,360,boardgameexpansion/boargame,2893,360
"Bluffing,Expansion for Base-game,Fighting,Negotiation,Novel-based,Political,Science Fiction",5.692,,14,6.53,Dune,Dune: Spice Harvest,3,30,1984,209,6,2,17,5.69246,"Area Control / Area Influence,Partnerships,Variable Player Powers",209,30,boardgameexpansion/boargame,2949,30
"Bluffing,Card Game,Expansion for Base-game,Science Fiction",5.555,,10,6.08,"Doctor Lucky,Moon/Lunar",Save Doctor Lucky on Moon Base Copernicus,3,45,2002,125,7,2,21,5.55533,Partnerships,125,45,boardgameexpansion/boargame,2984,45
"Expansion for Base-game,Racing,Sports",5.757,,10,8.13,Sports: Horse Racing,TurfMaster Course Collection 1,2,90,1999,105,8,2,23,5.75711,"Dice Rolling,Hand Management",105,90,boardgameexpansion/boargame,3043,90
"Card Game,Expansion for Base-game,Wargame,World War II",5.965,wargames,12,7.85,Up Front Series,Desert War,2,60,1984,237,2,2,25,5.96485,"Campaign / Battle Card Driven,Hand Management",237,60,boardgameexpansion/boargame,3118,60
"Deduction,Expansion for Base-game,Murder/Mystery,Novel-based",5.604,"thematic,strategygames",10,7.03,"Characters: Sherlock Holmes,Cities: Paris (France),Country: England,Mystery Novels",Sherlock Holmes Consulting Detective: Adventures by Gaslight,1,180,1986,70,6,2,27,5.60364,Co-operative Play,70,180,boardgameexpansion/boargame,3223,180
"Expansion for Base-game,Nautical",N/A,,12,6.4,,Kontor: 3 & 4 player expansion,3,45,2002,28,4,2,32,0,"Area Enclosure,Rock-Paper-Scissors,Simultaneous Action Selection,Tile Placement",28,45,boardgameexpansion/boargame,3283,45
"Economic,Expansion for Base-game,Negotiation",N/A,,0,1.33,Monopoly,Game Spice: Monopoly Expansion,3,90,1988,3,6,2,36,0,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading",3,90,boardgameexpansion/boargame,3446,90
"Aviation / Flight,Expansion for Base-game,Modern Warfare,Wargame",5.711,wargames,12,7.01,Air Power,Air Strike,1,60,1987,187,6,2,41,5.71089,Hex-and-Counter,187,60,boardgameexpansion/boargame,3614,60
"Arabian,Medieval,Wargame",5.596,wargames,12,7.11,Cry Havoc System,Croisades,2,180,1987,66,7,2,50,5.59634,"Campaign / Battle Card Driven,Hex-and-Counter,Modular Board,Secret Unit Deployment",66,180,boardgameexpansion/boargame,3756,180
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting,Miniatures",5.869,,12,7.55,Warhammer Fantasy Board Games,Warhammer Quest: Lair of the Orc Lord,2,120,1995,229,4,2,54,5.8686,"Dice Rolling,Modular Board,Role Playing",229,120,boardgameexpansion/boargame,3853,120
"Card Game,Expansion for Base-game,Fantasy,Fighting,Humor",6.217,"thematic,partygames",10,6.46,Munchkin,Munchkin 2: Unnatural Axe,3,90,2002,5484,6,2,59,6.21724,"Card Drafting,Dice Rolling,Hand Management,Take That,Variable Player Powers",5484,90,boardgameexpansion/boargame,3943,90
"Civilization,Expansion for Base-game,Exploration,Nautical,Negotiation",6.561,"strategygames,familygames",10,6.95,Catan,Catan: Seafarers – 5-6 Player Extension,5,120,1999,3227,6,2,64,6.56142,"Dice Rolling,Hand Management,Memory,Modular Board,Route/Network Building,Trading",3227,120,boardgameexpansion/boargame,4103,120
"Expansion for Base-game,Modern Warfare,Wargame",5.528,wargames,12,5.93,,Supremacy: Field Marshall's Handbook,2,180,1987,92,8,2,65,5.52838,,92,180,boardgameexpansion/boargame,4130,180
"Expansion for Base-game,Fantasy,Miniatures,Nautical,Wargame",5.76,wargames,12,7.18,Warhammer Fantasy Wargames,Man O' War: Sea of Blood,2,180,1994,188,8,2,67,5.76003,Variable Player Powers,188,180,boardgameexpansion/boargame,4135,180
"Adventure,Expansion for Base-game,Fantasy,Fighting",N/A,,8,2,,Worlds of Heroes & Tyrants Card Expansion #1: Frozen in Time,2,60,2001,2,5,2,70,0,Variable Player Powers,2,60,boardgameexpansion/boargame,4314,60
Expansion for Base-game,N/A,,8,N/A,,Worlds of Heroes & Tyrants: Hell Card Expansion #3 – The Maze,0,10,2003,0,0,2,75,0,,N/A,10,boardgameexpansion/boargame,4416,10
Expansion for Base-game,N/A,,8,N/A,,Worlds of Heroes & Tyrants: Hell Card Expansion #2 – Anger Management,0,10,2003,0,0,2,78,0,,N/A,10,boardgameexpansion/boargame,4419,10
"Economic,Expansion for Base-game,Trains,Transportation",N/A,,10,6.2,"Country: Austria,Country: Switzerland,TrainSport",ConTrack: Switzerland & Austria,3,90,1998,5,5,2,83,0,,5,90,boardgameexpansion/boargame,4658,90
"Card Game,Expansion for Base-game,Science Fiction",5.817,,12,8.14,Cosmic Encounter,Cosmic Encounter: Expansion Set #3,3,90,1978,133,6,2,87,5.81686,Variable Player Powers,133,90,boardgameexpansion/boargame,4717,90
"Card Game,Expansion for Base-game,Science Fiction",5.755,,12,8.02,Cosmic Encounter,Cosmic Encounter: Expansion Set #8,3,90,1982,108,6,2,92,5.75526,Variable Player Powers,108,90,boardgameexpansion/boargame,4722,90
"Expansion for Base-game,Fighting,Wargame,World War II",N/A,wargames,12,4.83,Blood and Steel series,Blood & Steel Expansion,2,360,1999,3,2,2,94,0,Hex-and-Counter,3,360,boardgameexpansion/boargame,4775,360
"Animals,Educational,Environmental,Expansion for Base-game,Fighting,Horror,Prehistoric,Science Fiction",N/A,,12,6.64,,Insecta: Trilobite,1,300,1998,16,7,2,96,0,"Co-operative Play,Hex-and-Counter,Role Playing,Simulation,Variable Player Powers",16,300,boardgameexpansion/boargame,4796,90
"Expansion for Base-game,Racing,Sports",5.885,,12,7.45,"Country: United Kingdom,Country: USA,Formula De/De mini/D,Sports: Auto Racing",Formula Dé Circuits 11 & 12: Watkins Glen & Silverstone,2,120,1998,238,10,3,2,5.88472,Roll / Spin and Move,238,120,boardgameexpansion/boargame,4940,120
"Expansion for Base-game,Racing,Sports",5.823,,12,7.58,"Country: Malaysia,Formula De/De mini/D,Hong Kong,Sports: Auto Racing",Formula Dé Circuits 31 & 32: Zhuhai & Sepang,2,120,2000,176,10,3,6,5.82301,Roll / Spin and Move,176,120,boardgameexpansion/boargame,4944,120
"Expansion for Base-game,Racing,Sports",5.896,,12,7.55,"Country: Austria,Country: Germany,Formula De/De mini/D,Sports: Auto Racing",Formula Dé Circuits 15 & 16: Hockenheim & Zeltweg,2,120,1999,230,10,3,12,5.89644,Roll / Spin and Move,230,120,boardgameexpansion/boargame,4956,120
"Abstract Strategy,Expansion for Base-game",5.634,abstracts,9,6.8,GIPF Project,GIPF Project Set 1,2,120,2001,109,2,3,20,5.63372,"Grid Movement,Pattern Building",109,120,boardgameexpansion/boargame,5202,120
"Expansion for Base-game,Wargame,World War II",6.947,wargames,12,8.49,Advanced Squad Leader,Beyond Valor: ASL Module 1,2,120,1985,989,2,3,22,6.94684,"Hex-and-Counter,Modular Board",989,120,boardgameexpansion/boargame,5287,120
"Expansion for Base-game,Wargame,World War II",6.456,wargames,12,8.18,Advanced Squad Leader,Yanks: ASL Module 3,2,120,1987,578,2,3,24,6.45561,Hex-and-Counter,578,120,boardgameexpansion/boargame,5289,120
"Expansion for Base-game,Wargame,World War II",5.968,wargames,12,7,Squad Leader Series,G.I. Anvil of Victory,2,180,1982,466,2,3,28,5.96843,"Dice Rolling,Hex-and-Counter,Modular Board",466,180,boardgameexpansion/boargame,5293,180
"Arabian,Dice,Expansion for Base-game,Fighting,Modern Warfare,Wargame",N/A,wargames,12,5.42,"Axis & Allies,Country: Israel,Yom Kippur War",The Arab Israeli Wars,2,90,2003,12,5,3,30,0,"Area Movement,Simulation,Variable Player Powers",12,90,boardgameexpansion/boargame,5359,90
"City Building,Expansion for Base-game,Medieval,Territory Building",7.405,"strategygames,familygames",13,7.6,"Animals: Pigs,Carcassonne,Country: France",Carcassonne: Expansion 2 – Traders & Builders,2,60,2003,12561,6,3,32,7.40477,"Area Control / Area Influence,Set Collection,Tile Placement",12561,60,boardgameexpansion/boargame,5405,60
